instance,paradigm,criterion,judge_score,human_score (fill 1-5)
h-low-1,workflow,completeness,5,
h-low-1,workflow,responsiveness,5,
h-low-1,workflow,coherence,5,
h-low-1,workflow,tone_audience,5,
h-low-1,workflow,conciseness,5,
h-low-1,agent,completeness,5,
h-low-1,agent,responsiveness,5,
h-low-1,agent,coherence,5,
h-low-1,agent,tone_audience,5,
h-low-1,agent,conciseness,4,
h-med-1,workflow,completeness,5,
h-med-1,workflow,responsiveness,5,
h-med-1,workflow,coherence,5,
h-med-1,workflow,tone_audience,5,
h-med-1,workflow,conciseness,4,
h-med-1,agent,completeness,5,
h-med-1,agent,responsiveness,5,
h-med-1,agent,coherence,5,
h-med-1,agent,tone_audience,5,
h-med-1,agent,conciseness,4,
h-high-1,workflow,completeness,5,
h-high-1,workflow,responsiveness,5,
h-high-1,workflow,coherence,5,
h-high-1,workflow,tone_audience,5,
h-high-1,workflow,conciseness,4,
h-high-1,agent,completeness,5,
h-high-1,agent,responsiveness,5,
h-high-1,agent,coherence,5,
h-high-1,agent,tone_audience,5,
h-high-1,agent,conciseness,5,
